madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
88010,0,105421,0,0,,heyet raporu,0,1,,0,0,0,,,,,heyet raporu,,"[{'anlam_id': '121897', 'madde_id': '88010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bir sağlık kuruluşunda görevli uzman doktorlardan oluşan kurul tarafından verilen, kişinin sağlık durumunu bildiren rapor', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88011,0,105422,0,0,,ve diğerleri,0,1,,0,0,0,,,,,ve digerleri,,"[{'anlam_id': '121898', 'madde_id': '88011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Üçten fazla yazarı olan yayınlar kaynak gösterilirken ilk adın dışında kalanları belirtirken kullanılan söz', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88012,0,105423,0,0,,tolere,0,1,,0,0,13,Fransızca toléré,,,,tolere,,"[{'anlam_id': '121899', 'madde_id': '88012', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '""Hoşgörmek; kaldırmak, katlanmak, tahammül etmek; gidermek"" anlamlarındaki tolere etmek birleşik fiilinde geçen bir söz', 'gos': '0'}]",
88013,0,105424,0,0,,sonnot,0,1,,0,0,0,,,,,sonnot,,"[{'anlam_id': '121900', 'madde_id': '88013', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Metin içinde geçen herhangi bir bilgi ile ilgili olarak çalışmanın sonuna konulan açıklama veya kaynak bilgisi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88014,0,105426,0,0,,çinakop,0,1,,0,0,393,Rumca,,,,cinakop,,"[{'anlam_id': '121901', 'madde_id': '88014', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '343 çinekop', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88015,0,105427,0,0,,despotya,0,1,,0,0,393,Rumca,,,,despotya,,"[{'anlam_id': '121902', 'madde_id': '88015', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Eskiden Balkanlarda müstakil prenslik', 'gos': '0', 'orneklerListe': [{'ornek_id': '34644', 'anlam_id': '121902', 'ornek_sira': '1', 'ornek': ""Mora'ya kadar memaliki dahi fethederek 'despotya' namıyla hadsiz hesapsız imaretlere taksim eylemişler."", 'kac': '1', 'yazar_id': '73', 'yazar': [{'yazar_id': '73', 'tam_adi': 'Ahmet Midhat', 'kisa_adi': 'A. Midhat', 'ekno': '211'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88016,0,105428,0,0,,artçıl,0,1,,0,0,0,,,,,artcil,,"[{'anlam_id': '121903', 'madde_id': '88016', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Arkadan gelen, sonra olan, öncül karşıtı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88017,0,105429,0,0,,yenilenebilir,0,1,,0,0,0,,,yenilenebilir enerji,,yenilenebilir,,"[{'anlam_id': '121904', 'madde_id': '88017', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yenilenme ihtimali veya imkânı olan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88018,0,105430,0,0,,yenilenebilir enerji,0,1,,0,0,0,,,,,yenilenebilir enerji,,"[{'anlam_id': '121905', 'madde_id': '88018', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Güneş, rüzgâr vb. kaynaklardan elde edilen enerji', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88019,0,105431,0,0,,eylemden türeme eylem,0,1,,0,0,0,,,,,eylemden tureme eylem,,"[{'anlam_id': '121906', 'madde_id': '88019', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Fiil köklerinden fiilden fiil yapma ekleriyle türetilmiş fiil, fiilden türeme fiil: sardır-(<sar-dır-), anlaş-(<anla-ş-), ekil-(<ek-il) vb', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '46', 'tur': '1', 'tam_adi': 'dil bilgisi', 'kisa_adi': 'db.', 'ekno': '95'}]}]",
